Player,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,K,D,A,FK,FD,DPR
Jesmu,1.12,203.5,1.08,0.75,132.7,0.72,0.42,0.06,0.06,20.0,33.0,207,192,121,16,18,0.664
Petra,1.11,248.7,1.19,0.69,164.8,0.86,0.15,0.21,0.19,26.0,8.0,179,151,32,43,40,0.726
smiley,1.11,194.9,1.02,0.77,124.1,0.69,0.51,0.06,0.09,32.0,20.0,223,218,166,18,28,0.673
Kyu,1.11,235.6,1.17,0.74,155.8,0.84,0.32,0.1,0.1,31.0,18.0,342,293,131,40,39,0.718
hannah,1.11,198.3,1.12,0.77,131.8,0.69,0.3,0.09,0.06,25.0,10.0,239,214,103,30,21,0.615
d4v41,1.11,198.5,1.18,0.73,129.8,0.75,0.28,0.08,0.05,35.0,23.0,180,153,67,20,12,0.635
Fragger,1.11,221.3,1.12,0.73,148.5,0.77,0.32,0.09,0.05,30.0,14.0,210,187,89,25,15,0.682
Cohburg,1.1,215.1,1.16,0.76,142.5,0.76,0.29,0.09,0.08,27.0,24.0,326,281,125,37,35,0.657
f1cio,1.1,235.9,1.13,0.7,157.2,0.83,0.25,0.11,0.09,30.0,10.0,170,150,52,23,18,0.735
Dark3st,1.1,208.7,1.09,0.75,136.5,0.73,0.48,0.09,0.08,26.0,17.0,654,599,426,80,75,0.671
TenZ,1.1,215.9,1.09,0.76,145.7,0.78,0.49,0.12,0.13,27.0,11.0,183,168,115,28,31,0.712
benjii,1.1,189.3,1.18,0.74,130.7,0.71,0.23,0.08,0.06,22.0,25.0,472,399,155,50,43,0.601
aNguiSt,1.1,208.8,1.22,0.69,140.5,0.78,0.12,0.08,0.06,36.0,11.0,322,264,50,35,23,0.641
LewN,1.09,237.0,1.19,0.72,154.4,0.84,0.14,0.15,0.14,34.0,28.0,280,236,47,51,46,0.704
socools0da,1.09,201.1,1.08,0.77,132.2,0.73,0.36,0.1,0.09,36.0,20.0,259,240,126,35,33,0.678
YESicaN,1.09,216.7,1.08,0.8,142.8,0.78,0.44,0.06,0.06,33.0,14.0,160,148,90,13,13,0.725
misu,1.09,186.2,1.05,0.73,122.1,0.67,0.37,0.08,0.04,25.0,7.0,160,152,89,18,9,0.636
Drone,1.09,234.6,1.2,0.71,152.0,0.85,0.22,0.12,0.11,28.0,14.0,340,283,90,48,43,0.706
bones,1.09,227.8,1.08,0.71,143.0,0.77,0.36,0.1,0.08,23.0,18.0,186,172,88,25,19,0.711
flowerful,1.09,208.8,1.15,0.72,141.0,0.74,0.17,0.05,0.06,26.0,16.0,315,274,74,23,24,0.64
something,1.08,216.8,1.11,0.7,141.4,0.78,0.18,0.18,0.14,29.0,7.0,203,183,46,46,37,0.704
PoomOneLove,1.08,196.6,1.1,0.73,127.4,0.72,0.34,0.05,0.06,34.0,16.0,255,232,119,16,20,0.655
Zellsis,1.08,195.0,1.09,0.72,115.9,0.69,0.43,0.06,0.06,18.0,22.0,164,151,102,14,15,0.64
seven,1.08,231.3,1.2,0.7,150.8,0.82,0.18,0.15,0.12,22.0,15.0,271,226,60,49,39,0.683
scarn,1.08,243.5,1.16,0.72,157.7,0.85,0.16,0.23,0.19,23.0,16.0,350,303,66,94,78,0.739
spoof,1.08,209.5,1.04,0.71,136.8,0.74,0.33,0.12,0.08,25.0,22.0,224,215,100,35,23,0.707
mimi,1.08,214.8,1.07,0.77,144.2,0.75,0.46,0.11,0.1,26.0,19.0,157,147,95,22,21,0.707
