Player,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"YESicaN
FCY",204,1.09,216.7,1.08,80%,142.8,0.78,0.44,0.06,0.06,33%,14%,5/37,28,160,148,90,13,13
"misu
DSG",239,1.09,186.2,1.05,73%,122.1,0.67,0.37,0.08,0.04,25%,7%,2/29,22,160,152,89,18,9
"Drone
MAD",401,1.09,234.6,1.20,71%,152.0,0.85,0.22,0.12,0.11,28%,14%,5/36,33,340,283,90,48,43
"bones
NSIC",242,1.09,227.8,1.08,71%,143.0,0.77,0.36,0.10,0.08,23%,18%,6/33,23,186,172,88,25,19
"flowerful
LIL",428,1.09,208.8,1.15,72%,141.0,0.74,0.17,0.05,0.06,26%,16%,13/81,26,315,274,74,23,24
"something
PRX",260,1.08,216.8,1.11,70%,141.4,0.78,0.18,0.18,0.14,29%,7%,2/29,29,203,183,46,46,37
"PoomOneLove
NKT",354,1.08,196.6,1.10,73%,127.4,0.72,0.34,0.05,0.06,34%,16%,6/38,23,255,232,119,16,20
"Zellsis
SEN",236,1.08,195.0,1.09,72%,115.9,0.69,0.43,0.06,0.06,18%,22%,6/27,19,164,151,102,14,15
"seven
T1",331,1.08,231.3,1.20,70%,150.8,0.82,0.18,0.15,0.12,22%,15%,5/34,37,271,226,60,49,39
"scarn
SaD",410,1.08,243.5,1.16,72%,157.7,0.85,0.16,0.23,0.19,23%,16%,4/25,30,350,303,66,94,78
"spoof
SaD",304,1.08,209.5,1.04,71%,136.8,0.74,0.33,0.12,0.08,25%,22%,5/23,25,224,215,100,35,23
"mimi
G2.G",208,1.08,214.8,1.07,77%,144.2,0.75,0.46,0.11,0.10,26%,19%,6/32,28,157,147,95,22,21
"nAts
TL",203,1.08,215.1,1.16,71%,141.8,0.76,0.14,0.09,0.08,27%,10%,2/21,25,154,133,29,19,16
"Keiko
TL",203,1.07,215.5,1.09,72%,138.1,0.76,0.16,0.17,0.20,27%,21%,3/14,21,155,142,32,34,40
"Logan
Feel",664,1.07,224.9,1.10,71%,143.3,0.77,0.20,0.18,0.17,21%,11%,5/46,27,511,465,130,122,113
nocz,214,1.07,196.7,1.09,77%,130.4,0.70,0.48,0.07,0.07,33%,24%,8/34,29,150,137,103,14,16
blowz1n,214,1.07,198.4,1.05,75%,129.0,0.71,0.43,0.09,0.07,33%,32%,7/22,21,153,146,92,19,16
"Noia
SR",225,1.07,199.1,1.17,73%,128.9,0.74,0.15,0.09,0.08,30%,7%,2/29,24,166,142,34,20,17
"Kohliii
GRY",209,1.07,207.7,0.99,75%,133.7,0.69,0.51,0.09,0.07,25%,8%,2/26,22,144,145,107,19,15
"jcrueL
NBC",274,1.07,220.9,1.09,68%,142.6,0.77,0.32,0.08,0.07,23%,13%,6/47,29,210,192,87,21,18
"Leviathan
FS",514,1.07,202.2,1.09,72%,131.2,0.74,0.34,0.08,0.09,33%,13%,7/55,27,382,350,177,42,47
"johnqt
SEN",236,1.07,191.7,1.05,72%,128.8,0.69,0.26,0.08,0.05,29%,18%,7/39,20,163,155,61,18,11
"Truth
LYE",414,1.07,195.3,1.04,74%,136.2,0.68,0.36,0.07,0.05,32%,18%,14/78,24,282,272,150,31,21
"mada
MxS",222,1.07,235.3,1.06,66%,149.8,0.77,0.18,0.20,0.23,20%,17%,2/12,22,172,162,40,44,51
"Ange
MAD",401,1.07,210.3,1.11,72%,135.3,0.72,0.28,0.11,0.09,24%,12%,5/42,22,288,259,113,44,37
"Bizerra
TL",351,1.07,205.5,1.07,70%,137.0,0.72,0.30,0.12,0.07,26%,26%,12/47,27,254,237,104,43,24
"zero cap
HRS",286,1.06,194.9,1.05,78%,129.4,0.68,0.35,0.07,0.06,29%,10%,3/30,21,195,185,101,21,18
"xuss
MOUZ",280,1.06,232.8,1.15,66%,154.5,0.84,0.10,0.19,0.16,30%,11%,2/19,27,234,203,27,53,46
"Turko
FF",216,1.06,175.5,1.13,72%,117.7,0.64,0.18,0.10,0.07,25%,23%,6/26,23,138,122,39,21,15
"Teague
TACO",735,1.06,204.2,0.97,75%,125.6,0.68,0.45,0.13,0.10,20%,7%,6/83,23,503,517,334,92,77
mdg,252,1.06,224.9,1.14,71%,154.0,0.79,0.21,0.10,0.10,26%,14%,3/21,23,199,175,54,25,25
"d1srupt
TR",306,1.06,222.9,1.12,66%,145.2,0.83,0.12,0.17,0.17,32%,7%,2/28,29,253,226,36,53,52
"grubinho
UCAM",276,1.06,206.3,1.04,72%,131.3,0.72,0.36,0.10,0.07,33%,15%,7/47,24,198,191,100,28,18
"L4CE
COL",789,1.06,204.4,1.04,74%,135.1,0.72,0.38,0.07,0.05,28%,11%,15/136,26,569,548,302,53,43
"Techno
TR",306,1.05,194.9,1.01,75%,127.1,0.71,0.41,0.08,0.08,28%,15%,6/40,26,216,214,125,24,25
"kev
ZMM.B",338,1.05,225.8,1.02,71%,143.8,0.79,0.33,0.12,0.09,24%,4%,1/23,24,267,262,111,39,32
